Batch No:0
Requestid				T									D
[763]				23.9899907788									0
[764]				28.9485257375									4.74363430028
[766]				32.316142195									8.97912645118
[765]				37.9812966427									16.9379007339
[767]				23.3305098782									0
[769]				26.8532321743									3.24726677613
[770]				23.3655607334									0
[771]				24.7647620311									0
[768]				42.8313168054									21.6029502868
[772]				19.7052440086									0
[773]				23.5823051687									0
[775]				21.7638372798									0
[777]				23.1041851309									0
[779]				23.0431342479									0
[778]				32.6629040356									7.68532892467
[781]				24.5872772395									0
[783]				24.4065875048									0
[776]				50.1986097128									25.2904922603
[774]				60.2462747685									35.2719922046
[788]				24.4570641691									0
[782]				48.7964264067									25.2940261832
[784]				45.6028691562									21.2659954922
[787]				41.8429437452									17.0225427829
[786]				47.4637964995									23.1764164874
[791]				31.6098790616									7.25222625242
[780]				82.4487718925									58.1620553998
[790]				43.8016859022									18.823325235
[797]				23.9948369903									0
[794]				35.4473686312									10.8256450393
[795]				39.7394707188									14.9968605499
[800]				23.7264446553									0
[785]				88.870665052									64.0788581067
[796]				51.9625939616									28.0288657344
[801]				24.8546381701									0
[802]				28.1468691695									6.73908084724
[799]				54.4310404339									30.8160504991
[792]				83.6658856338									58.8567411336
[798]				66.2002194273									41.5345324452
[793]				91.2434076025									72.433927239
[789]				112.135802065									89.722369256
[803]				25.934156703									6.5734772885
[804]				23.0895902546									0
[805]				13.523299616									0
[806]				13.6359044624									0
[807]				15.7355308235									0
[808]				15.6269155807									0
[809]				18.6356154295									0
[810]				23.4127710948									0
[811]				26.6064509339									2.48071157995
[814]				21.1767745163									0
[813]				30.1813859951									9.0684311661
[815]				22.9924648343									0
[812]				42.9359801017									20.1812811054
[816]				27.6078025505									5.03012289361
[817]				30.3188383217									7.8175712017
[818]				23.7306232759									0
[821]				24.1060656506									0
[822]				27.5501783527									2.81078321005
[820]				35.6592025106									12.9160970196
[819]				41.6310862356									17.5865631872
[824]				22.0345485662									0
[823]				42.2827358017									20.334333061
[825]				26.0829344447									1.44516773125
[826]				24.0399807941									0
[827]				25.2785345858									0.50007921883
[828]				25.5504793511									2.12768123761
[829]				22.4287493922									0
[830]				23.5609072866									0
[831]				24.1321850607									0
[832]				18.1814760184									0
[833]				21.0232210744									0
[834]				21.1005481893									0
[835]				20.5203903879									0
[836]				19.1283385073									0
[837]				21.8827659333									0
[838]				24.9192395172									0
[839]				26.1054246265									5.17360322173
[841]				24.7305198239									0
[842]				24.8009880095									0
[843]				29.6748531718									4.77045859588
[846]				24.8651182589									0
[845]				32.4653034429									7.58681495597
[849]				24.5089263485									0
[848]				30.4801628202									5.49912843031
[840]				60.5922538342									36.2220457146
[847]				43.9815701925									19.1711551683
[850]				40.6169279692									15.6573957676
[852]				31.0354315486									6.17866750996
[851]				41.7848352859									17.7442177273
[854]				27.9402186633									3.70919034537
[844]				80.532132911									56.9249279126
[857]				25.0724871599									0.441090432731
[853]				48.6535913091									23.6753223928
[855]				43.8752975908									21.5373466339
[858]				21.2844746926									0
[856]				50.0870223735									27.7483601519
[859]				24.9535755332									0
[860]				20.6019693104									0
[861]				13.806904284									0
[862]				17.8555482771									0
[863]				18.8559406099									0
[864]				18.121867665									0
[865]				15.9211691635									0
[866]				5.0									0
[867]				5.0									0
[868]				5.0									0
[869]				9.59950421173									0
[870]				11.2652479145									0
[871]				5.0									0
[872]				5.0									0
[873]				5.0									0
[874]				7.5646073716									0
[875]				5.0									0
[876]				5.44810870322									0
[877]				5.0									0
[878]				5.0									0
[879]				5.0									0
[880]				5.0									0
[881]				5.0									0
[882]				5.91814164208									0
[883]				6.83668141172									0
[884]				5.40883371479									0
[885]				5.45845103563									0
[886]				10.1563953863									0
[887]				5.0									0
[888]				7.69710259274									0
[889]				8.54271419221									0
[890]				13.2830015432									0
[891]				17.0160679008									0
[892]				6.16786990843									0
[893]				9.21874718759									0
[894]				12.0905913617									0
[895]				7.06588159427									0
[896]				10.4084305842									0
[897]				8.80209062958									0
[898]				8.76097942787									0
[899]				5.0									0
[900]				6.11306438765									0
[901]				8.72236493039									0
[902]				11.9231455024									0
[903]				14.209565154									0
[904]				19.2088684404									0
[905]				23.4452803808									0
[907]				25.2122831647									2.18691428387
[906]				32.4786646985									8.75092272695
[908]				18.1343867163									0
[909]				21.0516692346									0
[910]				20.1021910445									0
[911]				21.19355745									0
[912]				25.4435633887									1.5662801309
[915]				24.3921131257									0
[913]				30.9923672505									7.69120565586
[917]				23.3886865447									0
[918]				28.1210856376									4.27781387555
[916]				35.6783556359									14.6230366964
[919]				24.5866707569									0
[920]				22.0273837906									0
[914]				60.0591952556									39.6032156043
[921]				24.0079655198									0
[922]				19.0098981008									0
[923]				23.9714413325									0
[925]				23.0111280316									0
[924]				31.7720096451									11.9979719463
[926]				18.6948377118									0
[927]				22.7235881553									0
[928]				5.0									0
[929]				5.15129904546									0
[930]				7.97118948447									0
[931]				12.4533581154									0
[932]				14.1152176972									0
[933]				14.7038700915									0
[934]				16.0792217849									0
[935]				18.8489849497									0
[936]				6.13612683733									0
[937]				7.26631858926									0
[938]				10.0601998401									0
[939]				6.04126097688									0
[940]				9.36061245947									0
[941]				11.0633949969									0
[942]				15.4039188957									0
[943]				18.7727969575									0
[944]				5.0									0
[945]				5.0									0
[946]				5.55062302745									0
[947]				5.0									0
[948]				5.0									0
[949]				5.57989264785									0
[950]				7.83884097282									0
[951]				11.8819924681									0
[952]				16.7026907399									0
[953]				20.9293058321									0
[954]				22.8113242147									0
[955]				27.7496867408									3.38683819286
[957]				23.7550892855									0
[959]				23.3864476308									0
[960]				23.2076521892									0
[958]				37.3439633249									14.8838032344
[962]				30.8590366169									9.95884557444
[961]				36.1415083447									12.159008051
[963]				24.3192598321									0
[965]				24.5801310731									0
[966]				25.5178686829									0.719597008567
[967]				21.3238871569									0
[968]				22.3688565745									0
[956]				81.0132510143									56.9713909785
[969]				19.33867422									0
[970]				21.9994581578									0
[964]				63.1184533903									45.7320995066
[971]				16.510339908									0
[972]				10.6214624273									0
[973]				5.0									0
[974]				5.0									0
[975]				9.54306810524									0
[976]				12.5755798976									0
[977]				11.1785233865									0
[978]				5.0									0
[979]				5.0									0
[980]				9.76109594046									0
[981]				12.1982417074									0
[982]				14.6588392794									0
[983]				18.5322504775									0
[984]				22.0027250516									0
[985]				22.6467096017									0
[986]				24.8477375561									0
[988]				24.7970218019									0
[989]				24.3479920592									0
[987]				37.9837680121									14.7091671522
[990]				25.9851511551									10.7762789404
[991]				14.7969436722									0
[992]				19.1970459774									0
[993]				22.8860749967									0
[994]				19.8175596569									0
[995]				16.4292918242									0
[996]				15.7051845804									0
[997]				16.8268321568									0
[998]				14.1427527067									0
[999]				15.791269084									0
[1000]				19.4943123409									0
[1001]				23.0076611532									0
[1003]				27.0657636124									2.14307344556
[1002]				32.2902506806									15.1799434487
[1004]				19.0715913177									0
[1005]				20.880370419									0
[1006]				23.9192651535									0
[1007]				19.7989428426									0
[1008]				20.730546013									0
[1009]				24.6094591512									0
[1010]				16.6763323391									0
[1011]				5.83272023171									0
[1012]				10.547122653									0
[1013]				11.8594682502									0
[1014]				15.3611968581									0
[1015]				14.2461927994									0
[1016]				16.580440941									0
[1017]				19.4586535237									0
[1018]				22.2979641984									0
[1019]				21.6892483651									0
